container_id,machine_id,time_stamp,app_du,status,cpu_request,cpu_limit,mem_size
c_169,m_2428,0,app_2290,started,400,400,1.56
c_170,m_981,0,app_3924,started,400,400,1.56
c_171,m_776,0,app_6229,started,400,480,1.56
c_172,m_2982,125864,app_3120,started,400,400,1.56
c_173,m_2932,164020,app_3275,started,1600,1600,11.72
c_174,m_3733,0,app_3238,started,400,400,1.56
c_175,m_3873,0,app_3621,started,400,400,1.56
c_176,m_1443,0,app_1254,started,800,800,3.13
c_177,m_1903,0,app_3287,started,200,200,1.56
c_178,m_1908,0,app_17,started,400,400,1.56
c_179,m_1978,0,app_7392,started,400,400,1.56
c_180,m_2337,0,app_6672,started,400,400,1.56
c_181,m_1885,0,app_4730,started,400,400,1.56
c_182,m_1871,0,app_3632,started,400,400,1.56
c_183,m_678,0,app_234,started,400,400,1.56
c_184,m_1879,0,app_3548,started,800,800,3.13
c_185,m_411,0,app_7788,started,400,400,1.56
c_186,m_3218,0,app_8056,started,800,800,3.13
c_187,m_2622,0,app_8704,started,400,400,1.56
c_188,m_1977,0,app_3634,started,400,480,1.56
c_189,m_3647,0,app_141,started,800,800,3.13
c_190,m_4003,0,app_6525,started,800,800,3.13
c_191,m_831,0,app_5942,started,400,400,1.56
c_192,m_44,0,app_4281,started,400,480,1.56
c_193,m_1663,0,app_7235,started,400,400,1.56
c_194,m_3908,0,app_4815,started,400,400,1.56
c_195,m_515,0,app_7475,started,400,400,1.56
c_196,m_249,0,app_8056,started,800,960,3.13
c_197,m_1201,0,app_5744,started,400,400,1.56
c_198,m_1504,0,app_6320,started,400,400,1.56
c_199,m_3338,0,app_498,started,400,400,1.56
c_200,m_2432,125869,app_7316,started,400,400,1.56
c_201,m_2690,0,app_8274,started,800,800,3.13
c_202,m_2062,0,app_5805,started,800,800,6.25
c_204,m_889,0,app_2838,started,400,400,1.56
c_205,m_872,0,app_9656,started,400,400,1.56
c_206,m_1300,0,app_6312,started,400,400,1.56
c_207,m_2181,0,app_3979,started,800,800,3.13
c_208,m_2124,0,app_8980,started,400,400,1.56
c_209,m_2968,0,app_8329,started,400,400,1.56
c_210,m_1309,0,app_498,started,400,400,1.56
c_211,m_427,0,app_171,started,400,400,1.56
c_212,m_1706,593365,app_498,started,400,400,1.56
c_213,m_380,0,app_8205,started,400,400,1.56
c_214,m_2346,0,app_5573,started,1600,1600,6.25
c_215,m_3876,0,app_8152,started,400,400,1.56
c_216,m_1221,0,app_6765,started,400,400,1.56
c_217,m_2610,0,app_2362,started,800,800,6.25
c_218,m_5,0,app_4045,started,400,400,1.56
c_219,m_727,0,app_3238,started,400,400,1.56
c_220,m_609,0,app_9184,started,400,400,1.56
c_221,m_1205,342049,app_1825,started,800,800,6.25
c_222,m_1044,0,app_5530,started,400,400,1.56
c_223,m_942,0,app_2014,started,400,400,1.56
c_224,m_1958,0,app_5531,started,400,400,1.95
c_227,m_2839,646694,app_1230,allocated,800,800,3.13
c_228,m_507,0,app_1274,started,400,400,1.56
c_229,m_3011,0,app_1254,started,800,960,3.13
